gia,dientich,rong,dai,kieunha,phuong, quan,bedroom,bathroom,phaply,ngaydang,masobds,linkweb
37200,120,20,6,"mặt tiền, phố", Phường 12, Quận 10,6,6,Sổ hồng,21/01/2024,22032672,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/biet-thu-goc-3-2-ke-ha-do-q10-120m2-6x20-4-tang-tang-nt-xin-37-2-ty-tl-id22032672
37500,128,21,7.6,"Biệt thự, liền kề", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,3,Sổ hồng,21/01/2024,22162105,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-nha-duong-ngo-quang-huy-thao-dien-quan-2-dt-7-6m-x-21m-thiet-ke-hi-id22162105
37999,83.03,21.85,3.8,"mặt tiền, phố", Phường Cô Giang, Quận 1,3,4,Sổ hồng,21/01/2024,22466259,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/tieu-de-re-38-ty-ba-n-mt-d-tra-n-hung-da-o-p-co-giang-q1-id22466259
38000,150,16,8,"Biệt thự, liền kề", Phường 12, Quận 10,5,5,Sổ hồng,21/01/2024,21472143,https://mogi.vn/quan-10/mua-nha-biet-thu-lien-ke/tong-hop-05-san-pham-biet-thu-villa-ha-do-centrosa-garden-id21472143
38000,188,30,6,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,3,Sổ hồng,21/01/2024,21588374,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mat-tien-quoc-huong-phuong-thao-dien-quan-dt-6x30-188m2-38ty-id21588374
38000,275,25,11,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),5,6,Sổ hồng,21/01/2024,21390680,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-biet-thu-duong-so-42-p-thao-dien-quan-2-dt-275m2-hon-900m2-san-id21390680
38000,280,20,14,đường nội bộ, Phường Thảo Điền, Quận 2 (TP. Thủ Đức),5,5,Sổ hồng,21/01/2024,21384771,https://mogi.vn/quan-2/mua-duong-noi-bo/ban-nha-le-van-mien-thao-dien-quan-2-14x20m-cn-280m2-gia-38-ty-id21384771
38000,64,16,4,"mặt tiền, phố", Phường Nguyễn Cư Trinh, Quận 1,8,5,Sổ hồng,21/01/2024,22325564,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/re-38-ty-ba-n-mt-d-nguyen-trai-phuong-nguyen-cu-trinh-q1-4-16m-id22325564
38000,69,17.05,4.05,"mặt tiền, phố", Phường Phạm Ngũ Lão, Quận 1,1,2,Sổ hồng,21/01/2024,22052224,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/gia-m-ma-nh-7-ty-nha-mt-de-tham-q1-cach-tran-hung-dao-20m-con-38ty-id22052224
38000,74,17,4.5,"mặt tiền, phố", Phường 8 (Phường Võ Thị Sáu), Quận 3,1,2,Sổ hồng,21/01/2024,22416676,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/re-38-ty-ba-n-mt-hai-ba-trung-q3-4-5-17m2-hdt-960-trieu-nam-id22416676
38000,74,17.5,4.2,"mặt tiền, phố", Phường Tân Định, Quận 1,1,2,Sổ hồng,21/01/2024,22416675,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/re-38-ty-ba-n-mt-ga-n-cho-tan-di-nh-q1-4-2-17-5m2-hdt-960tr-nam-id22416675
38800,93,22,4.2,"mặt tiền, phố", Phường Đa Kao, Quận 1,5,6,Sổ hồng,21/01/2024,22162037,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/can-duy-nha-t-ba-n-re-d-nguye-n-bi-nh-khiem-20m-q1-ha-m-6-ta-ng-tm-id22162037
39000,260,26,12,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),20,21,Sổ hồng,21/01/2024,21393128,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/toa-nha-thu-nhap-220-trieu-thang-mt-thao-dien-quan-2-dt-12x26m-ham-6t-id21393128
39500,200,20,10.6,đường nội bộ, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức),37,40,Sổ hồng,21/01/2024,21394969,https://mogi.vn/quan-2/mua-duong-noi-bo/ban-toa-nha-chdv-cao-cap-nguyen-tu-nghiem-phuong-binh-trung-tay-q2-id21394969
40000,105,26,5,"mặt tiền, phố", Phường 6 (Phường Võ Thị Sáu), Quận 3,3,2,Sổ hồng,21/01/2024,22179618,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ngop-bank-ban-gap-nha-mt-dien-bien-phu-p6-q3-dt-5-x-26m-hdt-100tr-id22179618
40000,126,20,7,"mặt tiền, phố", Phường 13, Quận 3,3,3,Sổ hồng,21/01/2024,21830359,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-mat-tien-le-van-sy-quan-3-dt-7x20-m-cn-126m2-tret-3-lau-g-id21830359
40000,180,30,6,"mặt tiền, phố", Phường Tân Định, Quận 1,4,3,Sổ hồng,21/01/2024,22156852,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mat-tien-tran-quang-khai-p-tan-dinh-quan-1-dt-6-x-30-g-id22156852
40000,183,26,7.02,"Biệt thự, liền kề", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,2,Sổ hồng,21/01/2024,21897975,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/chinh-chu-ban-gap-biet-thu-khu-compound-glenwood-nguyen-van-huong-th-id21897975
40000,188,23,8,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),5,5,Sổ hồng,21/01/2024,22033208,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-mat-tien-le-van-mien-thao-dien-dt-8x23-188m2-tret-3-lau-hdt-cao-id22033208
40000,204,25,7,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,4,Sổ hồng,21/01/2024,21612137,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/can-tien-ban-gap-villa-ho-boi-hien-dai-204m2-p-thao-dien-chi-40-ty-id21612137
40000,400,4,21,"mặt tiền, phố", Phường Đa Kao, Quận 1,4,3,Sổ hồng,21/01/2024,22000275,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/gia-so-c-40-ty-ban-go-c-3mt-hoa-ng-sa-q1-ngang-21m-4-tang-hdt-120tr-id22000275
40000,65,12,6.5,"mặt tiền, phố", Phường 6 (Phường Võ Thị Sáu), Quận 3,1,1,Sổ hồng,21/01/2024,22470664,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-mt-ho-xuan-huong-p-vts-q-3-dt-6-5x12m-2-tang-gia-40-ty-id22470664
40000,75.2,6,12,"mặt tiền, phố", Phường 14, Quận Phú Nhuận,3,4,Sổ hồng,21/01/2024,22430679,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/sieu-vi-tri-ba-n-mt-d-huy-nh-van-ba-nh-q-pn-ngang-lo-n-12m-id22430679
40000,80,10,8,"mặt tiền, phố", Phường Nguyễn Thái Bình, Quận 1,2,3,Sổ hồng,21/01/2024,21946016,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/gia-cu-c-re-40-ty-ba-n-nha-go-c-2-mt-d-yersin-q1-ngang-lo-n-8m-id21946016
40000,93,17,5.5,"mặt tiền, phố", Phường 7 (Phường Võ Thị Sáu), Quận 3,5,4,Sổ hồng,21/01/2024,22148692,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/dinh-cu-ban-nha-mt-tran-quoc-thao-quan-3-5-5x17m-hdt-120-tr-th-id22148692
40000,99,18,5,"mặt tiền, phố", Phường Bến Thành, Quận 1,4,3,Sổ hồng,21/01/2024,22151287,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-ton-that-tung-quan-1-5x18m-2-tang-hdt-100-trieu-id22151287
41000,110,17,6.5,"mặt tiền, phố", Phường 7 (Phường Võ Thị Sáu), Quận 3,5,4,Sổ hồng,21/01/2024,22169000,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-gap-toa-nha-5-tang-mt-tran-quoc-toan-quan-3-gan-hai-ba-trung-dt-id22169000
41000,125,25,5,"mặt tiền, phố", Phường Đa Kao, Quận 1,5,5,Sổ hồng,21/01/2024,22151227,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-goc-2mt-mac-dinh-chi-dien-bien-phu-quan-1-dt-5x25m-kc-5-id22151227
41000,200,25,8,"Biệt thự, liền kề", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,2,Sổ hồng,21/01/2024,21797737,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-khu-215-nguyen-van-huong-thao-dien-200m2-nha-dep-gia-tot-id21797737
41000,200,25,8,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,5,Sổ hồng,21/01/2024,21536495,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-biet-thu-khu-215-nguyen-van-huong-thao-dien-200m2-nha-dep-gia-tot-id21536495
41000,254,16,16,"mặt tiền, phố", Phường An Phú, Quận 2 (TP. Thủ Đức),0,0,Sổ hồng,21/01/2024,21499786,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-dat-mat-tien-gan-cao-duc-lan-an-phu-quan-2-cuc-hiem-id21499786
41000,300,15,20,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,2,Sổ hồng,21/01/2024,21897999,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/sieu-pham-goc-2-mat-tien-duong-le-van-mien-thao-dien-20x15m-gia-d-id21897999
41000,300,27,11,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,4,Sổ hồng,21/01/2024,21388325,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-gap-biet-thu-dep-thao-dien-quan-2-dt-11x27m-cn-296m2-chi-41-ty-id21388325
41000,85,19,4.5,"mặt tiền, phố", Phường Bến Nghé, Quận 1,5,4,Sổ hồng,21/01/2024,22165043,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mat-tien-ham-nghi-p-ben-nghe-q1-dt-4-5x19m-4-tang-hdt-120t-id22165043
42000,110,17,6.5,"mặt tiền, phố", Phường 7 (Phường Võ Thị Sáu), Quận 3,4,4,Sổ hồng,21/01/2024,22159016,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-gap-toa-nha-5-tang-mt-tran-quoc-toan-quan-3-gan-hai-ba-trung-dt-id22159016
42000,200,20,10,"Biệt thự, liền kề", Phường An Phú, Quận 2 (TP. Thủ Đức),5,3,Sổ hồng,21/01/2024,21793316,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/biet-thu-cao-duc-lan-p-an-phu-quan-2-dt-10x20m-ham-3-lau-gia-42ty-id21793316
42000,252,16,16,"Biệt thự, liền kề", Phường Bình An, Quận 2 (TP. Thủ Đức),7,3,Sổ hồng,21/01/2024,21783239,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-view-song-duong-so-20-binh-an-q2-dt-16x16-4-lau-42-ty-id21783239
42000,278,36.5,7.6,"mặt tiền, phố", Phường 4, Quận 8,80,80,Sổ hồng,21/01/2024,22378342,https://mogi.vn/quan-8/mua-nha-mat-tien-pho/mtkd-cao-lo-q8-278m2-7-6x37-7t-chdv-80p-co-150tr-th-shr-gia-42-ty-tl-id22378342
43000,110,17,6.5,"mặt tiền, phố", Phường 7 (Phường Võ Thị Sáu), Quận 3,5,4,Sổ hồng,21/01/2024,22148766,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/giam-gap-6-ty-mt-tran-quoc-toan-hai-ba-trung-phuong-6-quan-3-dt-6-5x1-id22148766
43000,165,33,5,"mặt tiền, phố", Phường Tân Định, Quận 1,4,5,Sổ hồng,21/01/2024,22204441,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ba-n-can-duy-nha-t-mt-tren-d-tra-n-quang-kha-i-q1-pk-43-ty-ngang-5m-id22204441
43000,180,20,9,"mặt tiền, phố", Phường 14, Quận 3,3,4,Sổ hồng,21/01/2024,22466234,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/gia-to-t-43-ty-tl-ba-n-ga-p-mt-d-truo-ng-sa-q3-ngang-lo-n-9x20m-id22466234
43000,200,20,10,"Biệt thự, liền kề", Phường An Phú, Quận 2 (TP. Thủ Đức),5,4,Sổ hồng,21/01/2024,21499779,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-nha-quan-2-duong-so-7-phuong-an-phu-10-20-200m2-tret-3-lau-id21499779
43000,260,26,10,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),17,18,Sổ hồng,21/01/2024,21393132,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/that-100-ban-chdv-duong-41-td-q2-dt-10x26-cn-260m2-hdt-khoan-210tr-id21393132
43000,68,18,4,"mặt tiền, phố", Phường Cầu Ông Lãnh, Quận 1,12,13,Sổ hồng,21/01/2024,22326430,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ha-gia-bat-ngo-ban-nha-mt-d-yersin-p-cau-ong-lanh-q-1-4x18m-7t-id22326430
43000,99.5,24,4.5,"mặt tiền, phố", Phường Tân Định, Quận 1,6,7,Sổ hồng,21/01/2024,22325124,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/65-xuo-ng-43-ty-ba-n-mt-cho-va-ng-nguye-n-hu-u-ca-u-q1-ha-m-7-la-u-id22325124
44000,140,20,7,đường nội bộ, Phường Thảo Điền, Quận 2 (TP. Thủ Đức),6,6,Sổ hồng,21/01/2024,21824540,https://mogi.vn/quan-2/mua-duong-noi-bo/ban-toa-nha-van-phong-1000m2-san-tk-hien-dai-ham-6-lau-chi-44-ty-id21824540
44900,110,26,4.3,"mặt tiền, phố", Phường 12, Quận 10,10,8,Sổ hồng,21/01/2024,21880399,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/mt-q10-su-van-hanh-8-tang-tm-110m2-4-3x26-ngay-vh-mall-chi-44-9-ty-tl-id21880399
45000,110,23,5.5,"mặt tiền, phố", Phường 4, Quận 5,4,5,Sổ hồng,21/01/2024,22072392,https://mogi.vn/quan-5/mua-nha-mat-tien-pho/gia-sieu-ho-i-45-ty-ba-n-ga-p-mt-an-duong-vuong-q5-5-5-23m-5-tang-id22072392
45000,112.5,20,4.5,"mặt tiền, phố", Phường 25, Quận Bình Thạnh,3,4,Sổ hồng,21/01/2024,21941498,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/gia-to-t-45-ty-ba-n-ga-p-mt-nguye-n-gia-tri-q-bt-4-5-25m-4-la-u-id21941498
45000,120,15,8,"mặt tiền, phố", Phường 14, Quận 10,6,7,Sổ hồng,21/01/2024,22403355,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/cho-t-45-ty-ba-n-mt-ga-n-d-3-tha-ng-2-q10-ha-m-7-ta-ng-8-15m-id22403355
45000,121,11,11,"mặt tiền, phố", Phường 14, Quận 3,5,6,Sổ hồng,21/01/2024,21670419,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/giam-soc-45-ty-ban-gap-mt-tran-quang-dieu-q-3-11-11m-hdt-145tr-thang-id21670419
45000,136,18,8,"mặt tiền, phố", Phường 6 (Phường Võ Thị Sáu), Quận 3,4,3,Sổ hồng,21/01/2024,22162125,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ngop-bank-ban-nha-mt-hai-ba-trung-quan-3-dt-8x18m-3-tang-hd-thue-1-id22162125
45000,139,22,6.5,"mặt tiền, phố", Phường 7, Quận 10,6,7,Sổ hồng,21/01/2024,22360116,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/mtkd-goc-tan-phuoc-q10-139m2-6-5x22-no-hau-6pn-cuc-sung-gia-45-ty-tl-id22360116
45000,162,18,9,"mặt tiền, phố", Phường Đa Kao, Quận 1,3,2,Sổ hồng,21/01/2024,22156789,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ha-gia-8-ty-con-45-ty-ban-nha-mat-tien-mac-dinh-chi-quan-1-9x18m-x-id22156789
45000,200,20,10,"Biệt thự, liền kề", Phường An Phú, Quận 2 (TP. Thủ Đức),4,4,Sổ hồng,21/01/2024,21890600,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-gap-biet-thu-ngay-tran-luu-an-phu-quan-2-dien-tich-200m2-10x20-id21890600
45000,225,16,15,"Biệt thự, liền kề", Phường 8, Quận Phú Nhuận,5,5,Sổ hồng,21/01/2024,22339980,https://mogi.vn/quan-phu-nhuan/mua-nha-biet-thu-lien-ke/co-n-45-ty-ba-n-nha-hxh-d-nguye-n-van-tro-i-q-pn-15-16m-4-ta-ng-id22339980
45000,270,18,15,"Biệt thự, liền kề", Phường An Phú, Quận 2 (TP. Thủ Đức),5,2,Sổ hồng,21/01/2024,21793281,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-gap-biet-thu-goc-2mt-doi-dien-cong-vien-p-an-phu-q2-dt-15x18m-id21793281
45000,394,40,10,"mặt tiền, phố", Phường Cát Lái, Quận 2 (TP. Thủ Đức),3,3,Sổ hồng,21/01/2024,22386413,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mt-le-van-thinh-dien-tich-8-3x40m-cn-394-6m2-gia-45-ty-id22386413
45000,77,17,4.5,"mặt tiền, phố", Phường Nguyễn Thái Bình, Quận 1,2,3,Sổ hồng,21/01/2024,22053933,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/gia-re-45-ty-ban-nha-mt-nguyen-cong-tru-q-1-4-5-17m-gpxd-ha-m-6lau-id22053933
45000,85,17,5,"mặt tiền, phố", Phường Nguyễn Cư Trinh, Quận 1,6,7,Sổ hồng,21/01/2024,21785006,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/gia-hoi-45-ty-ban-lo-mt-d-nguyen-cu-trinh-q1-5-17m-ham-6-lau-tm-id21785006
46000,160,20,8,"mặt tiền, phố", Phường An Phú, Quận 2 (TP. Thủ Đức),4,5,Sổ hồng,21/01/2024,21664194,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-duong-cao-duc-lan-an-phu-quan-2-goc-2mt-ham-3l-id21664194
46000,180,26,8.7,"mặt tiền, phố", Phường 2, Quận 10,1,1,Sổ hồng,21/01/2024,22402543,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/re-46-ty-ba-n-mt-d-vinh-vien-q10-8-7-26m-cn-180m2-gpxd-ham-5-lau-id22402543
46000,308,27,13,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,4,Sổ hồng,21/01/2024,21500793,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/biet-thu-goc-2-mat-tien-thao-dien-quan-2-dt-308m2-cuc-dep-id21500793
46000,85,22,4.5,"mặt tiền, phố", Phường Đa Kao, Quận 1,5,5,Sổ hồng,21/01/2024,22156862,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-nguyen-thi-minh-khai-q1-dt-4-5x22m-hdt135-tr-th-id22156862
47000,228,19,12,"Biệt thự, liền kề", Phường 10, Quận 6,8,6,Sổ hồng,21/01/2024,22427899,https://mogi.vn/quan-6/mua-nha-biet-thu-lien-ke/biet-thu-mt-duong-26-p10-q6-228m2-12x19-4-tang-dang-cap-gia-47-ty-tl-id22427899
47000,341,34,6.5,"mặt tiền, phố", Phường Phú Thọ Hòa, Quận Tân Phú,6,2,Sổ hồng,21/01/2024,21913967,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/mtkd-phu-tho-hoa-341m2-ngang-6-no-hau-15m-tien-xay-moi-gia-47-ty-tl-id21913967
47000,95,24,4.6,"mặt tiền, phố", Phường 5, Quận 3,3,2,Sổ hồng,21/01/2024,22132044,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/can-ban-can-nha-mat-tien-cao-thang-p5-q3-dt-4-6-x-24m-id22132044
48000,120,15,8,"mặt tiền, phố", Phường 9, Quận 3,7,8,Sổ hồng,21/01/2024,21785015,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/gia-hoi-48-ty-ban-building-mt-ly-chinh-thang-q3-ngang-lon-8-15m-8-lau-id21785015
48000,80,20,4,"mặt tiền, phố", Phường Nguyễn Thái Bình, Quận 1,3,4,Sổ hồng,21/01/2024,21948640,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/gia-re-48-ty-ba-n-gap-mt-d-calmette-q1-4-20m-4-lau-co-tm-id21948640
48000,92,23,4,"mặt tiền, phố", Phường Nguyễn Thái Bình, Quận 1,3,4,Sổ hồng,21/01/2024,21904117,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/loi-48-ty-ban-mt-doan-dep-d-ky-con-q1-ngang-4x23m-4-lau-id21904117
49000,100,10,10,"mặt tiền, phố", Phường 14, Quận 3,8,8,Sổ hồng,21/01/2024,22162124,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-toa-building-goc-2-mat-tien-tran-quang-dieu-10x10m-ham-8-lau-hdt-1-id22162124
49000,108,18,6,"mặt tiền, phố", Phường 5, Quận 3,5,5,Sổ hồng,21/01/2024,21830364,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/mat-tien-vo-van-tan-p-5-q3-doan-2-chieu-6x18m-5-tang-hd-thue-130-id21830364
49000,270,36,11.5,"mặt tiền, phố", Phường 5, Quận Tân Bình,2,3,Sổ hồng,21/01/2024,21687848,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/gia-soc-49ty-ban-mt-ngang-lon-11-5-36m-3lau-khong-dinh-tuyen-metro-id21687848
49000,90,17.1,5.1,"mặt tiền, phố", Phường 4, Quận 3,6,6,Sổ hồng,21/01/2024,22159029,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-goc-2-mt-cao-thang-dien-bien-phu-p4-q3-5-1x17-hau-5-2-90-id22159029
49000,90,17.15,5.1,"mặt tiền, phố", Phường 4, Quận 3,6,6,Sổ hồng,21/01/2024,22168996,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-goc-2-mt-cao-thang-dien-bien-phu-p4-q3-5-1x17-hau-5-2-90-id22168996
50000,100,20,5,"mặt tiền, phố", Phường Tân Định, Quận 1,4,5,Sổ hồng,21/01/2024,21944753,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ba-n-can-2-mt-tren-tra-n-quang-kha-i-q1-pk-50ty-ngang-5m-ha-m-5-ta-ng-id21944753
50000,100,25,4,"mặt tiền, phố", Phường 13, Quận 5,7,8,Sổ hồng,21/01/2024,22383138,https://mogi.vn/quan-5/mua-nha-mat-tien-pho/mt-hai-thuong-lan-ong-q5-100m2-4x25-5t-kd-ngay-dem-chi-50-ty-tl-hiem-id22383138
50000,108,18,6,"mặt tiền, phố", Phường Bình An, Quận 2 (TP. Thủ Đức),3,2,Sổ hồng,21/01/2024,21927490,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nhanh-sieu-vi-tri-mat-tien-duong-tran-nao-quan-2-108m2-1-tret-1-id21927490
50000,155,18.3,8.5,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),2,2,Sổ hồng,21/01/2024,21897993,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-xuan-thuy-p-thao-dien-q2-dt-8-5x18-3m-gia-5-id21897993
50000,160,16,10,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,2,Sổ hồng,21/01/2024,21783234,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-xuan-thuy-thao-dien-10x16m-gia-50-ty-id21783234
50000,230,27.5,8.5,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),25,5,Sổ hồng,21/01/2024,21898022,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/chdv-doanh-thu-250-trieu-thang-ham-5-tang-moi-dep-duong-so-64-phu-id21898022
50000,270,27,10,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),28,5,Không xác định,21/01/2024,21890604,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-toa-nha-chdv-ham-6-lau-dt-10x27m-voi-28-chdv-ngay-trung-tam-p-t-id21890604
50000,300,14,7.2,"mặt tiền, phố", Phường 9, Quận 3,8,8,Sổ hồng,21/01/2024,21848551,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-toa-nha-mat-tien-ly-chinh-thang-p-9-q-3-doan-2-chieu-dt-7-2x14-id21848551
50000,300,30,10,"mặt tiền, phố", Phường 25, Quận Bình Thạnh,9,10,Sổ hồng,21/01/2024,21670393,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/gia-soc-chi-50-ty-ban-toa-nha-d-ung-van-khiem-binh-thanh-10-30m-10lau-id21670393
50000,560,28,20,"mặt tiền, phố", Phường 16, Quận 8,4,1,Sổ hồng,21/01/2024,21619144,https://mogi.vn/quan-8/mua-nha-mat-tien-pho/mtkd-quan-8-560m2-20x28-vuong-1-lo-duy-nhat-dt-khung-chi-50-ty-tl-id21619144
52000,102,20,4.5,"mặt tiền, phố", Phường 6 (Phường Võ Thị Sáu), Quận 3,10,6,Sổ hồng,21/01/2024,21830369,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-2-mat-tien-truong-quyen-quan-3-dien-tich-4-5x21m-nh-6-5m-id21830369
52000,109,16,6.8,"mặt tiền, phố", Phường 9, Quận 10,5,6,Sổ hồng,21/01/2024,22403352,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/re-52-ty-ba-n-go-c-2-mt-nguye-n-tri-phuong-q10-6-8-16m-ha-m-6-lau-id22403352
52000,120,21,6,"mặt tiền, phố", Phường Nguyễn Cư Trinh, Quận 1,20,20,Sổ hồng,21/01/2024,22156854,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-hotel-6-tang-dt-6x21m-120m2-duong-nguyen-trai-q1-dang-co-hdt-id22156854
52000,220,20,11,"mặt tiền, phố", Phường Tân Định, Quận 1,4,5,Sổ hồng,21/01/2024,21669059,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/sieu-pham-gia-dau-tu-52-ty-ban-ngay-mt-tran-quang-khai-q1-dt-11-x-20m-id21669059
52000,75.6,18,4.2,"mặt tiền, phố", Phường Nguyễn Thái Bình, Quận 1,9,9,Sổ hồng,21/01/2024,21953742,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/gia-to-t-52-ty-ba-n-mt-nguyen-thai-binh-q1-4-2-18m-5-lau-cu-c-mo-i-id21953742
52000,80,20,4,"mặt tiền, phố", Phường Bến Thành, Quận 1,2,2,Sổ hồng,21/01/2024,21836598,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/vi-tri-rat-dep-goc-2mt-ly-tu-trong-ben-thanh-quan-1-4x20m-2-tan-id21836598
52000,85,17,5.5,"mặt tiền, phố", Phường Bến Thành, Quận 1,1,2,Sổ hồng,21/01/2024,22118158,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/mt-thuong-hieu-vip-ton-that-tung-q1-5-5-17m-hdt-100-tr-chi-52-ty-chot-id22118158
53000,200,20,10,"Biệt thự, liền kề", Phường An Phú, Quận 2 (TP. Thủ Đức),5,3,Sổ hồng,21/01/2024,21787691,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-cao-duc-lan-dt-10x20m-1-ham-3-lau-gia-53-ty-id21787691
